"1-molssaeavttut","1-valinnat"
"create-metoda bájuhii árvvu 0","luontimetodi palautti arvon 0"
"cuoŋ","huhtikuuta"
"cxhextris","cxhextris"
"dd","tt"
"das","joukossa"
"doaibma ii dorjo","tehtävää ei tueta"
"doaibma lea juo jođus","toimenpide on jo käynnissä"
"doaibma ádjánii menddo guhkká","ajastetun toiminnon aikakatkaisu"
"doaibma 1","toiminto 1"
"doalat","säilytä"
"dokumeanttas ii leat rievttes formáhtta","tiedosto ei ole oikeassa tiedostomuodossa."
"dovddaldat 1","pääte 1"
"dumat","tuumia"
"duohtaáigi","reaaliaika"
"duođalaš dulkonmeattáhus 1, 2 linnjás, 3 čuolddas","jäsennysvirhe 1 rivillä 2, sarakkeessa 3"
"dáinna","tällä"
"dán fierpmádatloganis","seuraavalla selainohjelmalla"
"dárkkisteamen","tarkastetaan"
"e-boasta","sähköposti"
"edonkey200 0 gtk+ guovddášstivrejeaddji","edonkey200 0 gtk+ core controller"
"edonkey200 0-lakta","edonkey200 0-käyttöliittymä"
"eanet go okta dokumeantašládjadefinišuvdna","enemmän kuin yksi asiakirjan tyyppimääritys"
"eará","rothera"
"eretgeassemeahttun meattáhus nammačielggadeamis","peruuttamaton virhe nimen selvittämisessä"
"exec/","exec/"
"ext 2","ext2r 0"
"ext 3","ext 3"
"fat1 6","efi-fat1 6"
"fat3 2","fat3 2"
"ferite","ferite"
"fierbmearkiiva","web-arkisto"
"fierpmádatmeattáhus","tapahtui verkkovirhe"
"fl","fl"
"flsa","flsa"
"flse","flse"
"fontapáhkka","kirjasinpaketti"
"formattere","normaali"
"formattere partišuvnna","aboot-käynnistysosio"
"fotografiija (4 × 6 dumá., 1 0 × 1 5 cm","valokuva (4 x 6 in., 1 0 x 1 5 cm"
"fstab","fstab"
"g 0000 0 a 0000 0","w 0000 0 h 0000 0"
"galan","galan"
"gedit","gedit"
"galle geardde čuojahuvvon","soittokertoja"
"gaskaboddosaš meattáhus nammačielggadeamis","väliaikainen virhe nimen selvittämisessä"
"gaskal","välissä"
"gaskasáhpánboallu","keskipainiketta"
"gaskka olggobealde","alueen ulkopuolella"
"gaskkalduhte buot bargovuoruid","keskeytä kaikki istunnot"
"gaskkalduhte heaittiheami","peruuta koneen sammutus"
"gaskkalduhte iežat bargovuoruid","keskeytä omat istunnot"
"geas","kesäkuuta"
"genshortcutents","genshortcutents"
"gitta","kohteelle"
"golg","lokakuuta"
"guossoheaddji ii gávdnon","palvelinta ei löytynyt."
"guov","helmikuuta"
"gurut sáhpánboallu","vasenta painiketta"
"gustohis boallu","kelpaamatonta painiketta"
"gustohis leavggat","virheelliset lisämääreet"
"gáiddus guossoheaddji botkii oktavuođa","etäpalvelin sulki yhteyden"
"heive regexii.","noudattaa sääntölauseketta"
"heivvolaš dovddaldat","sopiva tiedostopääte"
"itunes","itunes"
"ickle","ickle"
"ii das","ei joukossa"
"ii geavahahtti","kelvoton"
"ii geavahusas","käyttämätön"
"ii leat maŋemužžas","ei ole viimeisen"
"<ii oktage>","ei mikään"
"ii ovttage čujuhus čatnon nodenammii","ei osoitetta sidottu nimeen"
"ii ovttamađu","eri suuri kuin"
"include dohkkeha dušše ovtta argumeantta, iige 1","include ottaa vain yhden parametrin, ja 1 annettiin."
"ja olu eará...","ja monet muut..."
"jeara","kysy"
"jearahus gaskkalduhttui","pyyntö peruutettiin"
"jearahuvvon bearaš ii dorjojuvvo","pyydettyä perhettä ei tueta"
"jearahuvvon bearaš ii dorjojuvvo dán guossoheaddjinama várás","tämä palvelin ei tue pyydettyä perhettä"
"jearahuvvon socket-šládja ii dorjojuvvo","pyydettyä pistoketyyppiä ei tueta"
"jearat bálvvá doaimmaid","kysele palvelimen kykyjä"
"juov","joulukuuta"
"kaccess","kaccess"
"kaleandar.html","kalenteri.html"
"kcmaudiocd","kcmaudiocd"
"kcmbell","kcmbell"
"kcmcgi","kcmcgi"
"kcmclock","kcmclock"
"kcmcomponentchooser","kcmcomponentchooser"
"kcminfo","kcminfo"
"kcmioslaveinfo","kcmioslaveinfo"
"kcmkded","kcmkded"
"kcmkmailsummary","kcmkmailsummary"
"kcmkonqhtml","kcmkonqhtml"
"kcmkwincompositing","kcmkwincompositing"
"kcmkwindecoration","kcmkwindecoration"
"kcmkwinoptions","kcmkwinoptions"
"kcmkwinrules","kcmkwinrules"
"kcmlilo","kcmlilo"
"kcmprintmgr","kcmprintmgr"
"kcmsamba","kcmsamba"
"kcmsmartcard","kcmsmartcard"
"kcmstyle","kcmstyle"
"kcmtaskbar","kcmtaskbar"
"kcmusb","kcmusb"
"kcmxinerama","kcmxinerama"
"kde 4-config","kde 4-config"
"kdeprint_part","kdeprint_part"
"kfmclient","kfmclient"
"khtml regrešuvdnageahččaleaddji","regressiotestiohjelma khtmllle"
"kio_finger perl-skripta ii gávdnon.","perl -skriptiä kio_finger ei löytynyt."
"kio_metainfo","kio_metainfo"
"kmix ii sáhttán lohkat mixeris.","kmix mikseristä ei voitu lukea"
"kmix ii sáhttán čállit mixerii","kmix mikseriin ei voitu kirjoittaa"
"kmixctrl - kmix jietnadássi vurke/máhcat reaidu","kmixctrl - kmix äänenvoimakkuuden tallennus-/palautustyökalu"
"kn","kn"
"komponista","säveltäjä"
"konsollageavaheaddji","konsolikäyttäjä"
"kontactsummary","kontactsummary"
"kopetepasswordtest","aseta uusi salasana"
"kr","kr"
"kr","kr."
"lassemodula","liitännäinen"
"last.fm-bálvalusat","last.fm-palvelut"
"last.fm-profiila","last.fm-profiili"
"latin 1","latin 1"
"lea gaska","on välillä"
"lea maŋemužžas","on viimeisen"
"lea nuppelágán go","eri kuin"
"lea seamma stuoris dahje stuorát go","on suurempi tai yhtäsuuri kuin"
"lea seamma stuoris dahje unnit go","on pienempi tai yhtäsuuri kuin"
"lea seammá go","yhtä suuri"
"libcrypto ii gávdnon dahje lean vejolaš viežžat.","libcryptoa ei löytynyt, tai sen lataaminen epäonnistui."
"librrs čálli","librss-kirjaston tekijä"
"libsmbclient filtii konteavstta ráhkadettiin","kirjaston libsmbclient asiayhteyden luonti epäonnistui"
"libsmbclient filtii konteavstta álggahettiin","kirjaston libsmbclient asiayhteyden alustaminen epäonnistui"
"lobikeahttá","ei sallittu"
"logalaš","looginen"
"login.icq.com","login.icq.com"
"login.oscar.aol.com","login.oscar.aol.com"
"lohkat bajás meroštuvvon fiilla dahje máhpa","poista lukitus tietystä tiedostosta tai kansiosta"
"lohkat válljejuvvon fiilla dahje máhpa","lukitse tietty tiedosto tai kansio"
"lávttašupmi hilgojuvvui","yhteys estettiin"
"lávttašupmi ádjánii menddo guhkká","yhteyden aikakatkaisu"
"mm","kk"
"mvállje máhpa r>","<valitse kansio>"
"makekdewidgets","makekdewidgets"
"meattáhus dulkodettiin dokumeantašládjadefinišuvnna","tapahtui virhe jäsennettäessä asiakirjan tyyppimääritystä"
"meattáhus dulkodettiin kommeantta","tapahtui virhe jäsennettäessä kommenttia"
"meattáhus dulkodettiin merkošiid","tapahtui virhe jäsennettäessä elementtiä"
"meattáhus dulkodettiin sisdoalu","tapahtui virhe jäsennettäessä sisältöä"
"meattáhus čuožžilii dolkodettiin bájuhusa","tapahtui virhe jäsennettäessä viitettä"
"mergetag teaksta","mergetag-teksti"
"mielddus.1","liite.1"
"mielddus.1","liite.1"
"mies","toukokuuta"
"mk","mk"
"molsu synkronalaš doaibmanvuohkái dihkkema várás","vaihtaa synkroniseen tilaan vianjäljitystä varten."
"muvuorru","myturn"
"muhto du minsttar definere dušše ovtta merkema.","mutta hakusi määrittelee vain yhden alimerkkijonon."
"muhto du minsttar ii definere ovttage merkema.","mutta haussasi ei ole alimerkkijonoja."
"muitovárrehus meattáhus","muistinvarausvirhe"
"muittuhus vuogádatgárcus","ilmoituksien näyttäminen ilmoitusalueella"
"munieš@ovdačájeheapmi","minä@esikatselu"
"máŋga krypterenčoavdagat juohke čujuhussii","usean salausavaimen tuki osoitteille"
"máŋge válljejuvvon fiilla dahje máhpa","kopioi tietty tiedosto tai kansio"
"nammaohcan filtii","nimihaku on epäonnistunut"
"nettverk er ikke slått på","verkko ei käytössä"
"nettverk er slått på","verkko käytössä"
"njuk","maaliskuuta"
"njuolggobálggis kexi-prošektii diehtovuođđobálvás","oikopolku kexi-projektiin tietokantapalvelimella"
"noweb","noweb"
"nspluginscan","nspluginscan"
"nspluginviewer","nspluginviewer"
"oađđimin","nukkumassa"
"oađđimin skearrus","levy nukkumassa"
"ohcancealkka","hakusana"
"oidde válljejuvvon ovttadaga","suosi valittua laitetta"
"oktageardánis fierbmelogan mii geavaha khtml-bibliotehka","yksinkertainen verkkoselain khtml-kirjaston pohjalta"
"oktavuohta hilgojuvui","yhteys torjuttu"
"olgešboallu","oikeaa painiketta"
"olggosboksa","lähtevät"
"olgguldas gáldus","ulkoisesta lähteestä"
"omd. 311 2","esim. 311 2"
"omd. ssh -l root guossoheaddji.fierbmi.org ksysguardd","esim. ssh -l root eta.kone.org ksysguardd"
"operašuvnna livččii lohkkadan doaimma","operaatio aiheuttaisi lukkiutumisen"
"org","organisaatio"
"ovdabuktin","esitys"
"ovdánahtti","sovelluskehittäjä"
"ovttamađu dahje stuorit go","yhtä suuri tai suurempi kuin"
"ovttamađu dahje unnit go","yhtä suuri tai pienempi kuin"
"oza meroštuvvon máhpas","hae tietyssä kansiossa"
"ođasmahtimin reivveloguid","päivitetään viestimääriä"
"ođđj","tammikuuta"
"p.","p."
"plasmoida","plasmoidi"
"pppd-veršuvdna","pppdn versio"
"pppd-áigemearri","pppdn aikakatkaisu"
"pri/log","ens/log"
"primeara","ensisij."
"progress","progress"
"prográmmas vuođđoduvvon čujuhusa sisdoalus","verkko-osoitteen sisällön mukaan valitulla sovelluksella"
"raid","raid"
"rezound","rezound"
"reivegorut","viestirunko"
"rievdaduvvon 1","muokattu 1"
"rsh","rsh"
"rupi","rupia"
"ráhkat jearahuvvon máhpa","luo pyydetty kansio"
"ráhkkaduvvon 1","luotu 1"
"srgb (hdtv","srgb (hdtv"
"scilab","scilab"
"seammá go","kuten"
"sekundda","sekunti(a"
"shn","shn"
"sihko válljejuvvon fiilla dahje máhpa","poista tietty tiedosto tai kansio"
"siiddut","sivut"
"sirdde válljejuvvon fiilla dahje máhpa","siirrä tietty tiedosto tai kansio"
"sisahuksejuvvon","sisäänrakennettu"
"siskkildas oassi","sisäinen osa"
"skearronummir","levynumero"
"skearru","albumi"
"skáb","marraskuuta"
"socket geavahuvvo juo","pistoke on jo liitetty"
"socket ii geavahuvvo","pistoketta ei ole liitetty"
"socket ii leat ráhkaduvvon","pistoketta ei ole luotu"
"socket lea juo ráhkaduvvon","pistoke on jo luotu"
"solid-network","solid-network"
"speadjalastá buot šearbmaáđaid","peilaa koko asettelun"
"ssh","ssh"
"stcolor","stcolor"
"stiila 1","tyyli 1"
"stuorit dahje ovttamađu","suurempi tai yhtä suuri"
"sturrodat 1 (2","koko 1 (2"
"1 (sullii","suunnilleen 1"
"suoi","heinäkuuta"
"sádde 1","lähetetään tiedostoa 1"
"sáddejuvvon e-boasta","lähetetyt"
"sárggis mii ii heive","tagi ei täsmää"
"sárgojuvvon govva","piirros"
"teaksta 40x2 5 (7","teksti 40x2 5 (7"
"teaksta 80x2 5 (0","teksti 80x2 5 (0"
"teaksta 80x2 8 (3","teksti 80x2 8 (3"
"teaksta 80x3 0 (4","teksti 80x3 0 (4"
"teaksta 80x3 4 (5","teksti 80x3 4 (5"
"teaksta 80x4 3 (2","teksti 80x4 3 (2"
"teaksta 80x5 0 (1","teksti 80x5 0 (1"
"teaksta 80x6 0 (6","teksti 80x6 0 (6"
"teakstagiettis dás vuolábealde","alla olevasta kentästä"
"telnet-bálvalus","telnet-palvelu"
"telnet-protokollagieđahalli","telnet-protokollan käsittelijä"
"trådløst maskinvare er ikke skrudd på","langaton laitteisto ei käytössä"
"trådløst maskinvare er skrudd på","langaton laitteisto käytössä"
"trådløst er ikke slått på","langaton ei käytössä"
"trådløst er slått på","langaton käytössä"
"txt 2tags","txt 2tags"
"unnimus","matalin"
"unnit","pienempi"
"unnit dahje ovttamađu","pienempi tai yhtä suuri"
"upper(bool 2string(find(\"nan\";\"bánanat\)) dieđiha true","upper(bool 2string(find(\"nan\";\"banana\)) palauttaa tosi"
"vcalendar","vcalendar"
"vcard sisafievrrideapmi filtii","vcardin tuonti epäonnistui"
"vahku","viikko(a"
"vahku","viikon välein"
"variábel","muuttuja"
"variánta 0","muunnelma 0"
"variánta 1","muunnelma 1"
"variánta 2","muunnelma 2"
"videocapturetestapp","videocapturetestapp"
"viečča iešvuođaárvvuid","hae ominaisuusarvot"
"viečča válljejuvvon fiilla dahje máhpa sisdoalu","hae tietyn tiedoston tai kansion sisältö"
"viežžamin máhpaid","haetaan kansiota"
"vuolggaheaddji","lähettäjä"
"vuolggát dihtora ođđasit","uudelleenkäynnistä kone"
"vuordemeahttun mearka","odottamaton merkki"
"vuostáiváldi","enintään"
"vurddii veršuvdnanummira logadettiin xml-deklarašuvnna","odotettiin versiota xml-määritystä luettaessa"
"vurkejuvvon","tallennettu"
"váldu ovdánahtti","pääkehittäjä"
"w 3m","w 3m"
"x.org heivehusfiila","x.org-asetustiedostot"
"xharbour","xharbour"
"xacc","xacc"
"xslt","xslt"
"yacas","yacas"
"yeain","with ye"
"yeyoain","with yeyo"
"yoain","with yo"
"zombie","zombie"
"zt","zt"
"'1' ii gávdnon, čális gustojeaddji prográmmanama.","ohjelmaa \ 1\ ei löytynyt, anna oikea ohjelman nimi."
"'1' ii leat gustojeaddji qwidget.","\"1\" ei ole kelvollinen qwidget."
"'1' lea gustohis qlayout.","\ 1\ ei ole kelvollinen qlayout."
"'1' rahpo","avaa \ 1\"
"'1' váilu.","\ 1\ puuttuu."
"'1'-boallokombinašuvdna geavahuvvo 2-prográmmas 3-doaimmas","näppäinyhdistelmä \ 1\ on rekisteröity sovelluksen 2 toiminnolle 3"
"'1'-boallokombinašuvdna geavahuvvo 2-prográmmas. 3","näppäinyhdistelmän \ 1\ on rekisteröinyt sovellus 2. 3"
"'1'-oktavuođas '2'-doibmii","käyttöyhteydessä \ 1\ toiminnolle \ 2\"
"'1'a ođđa vuollemáhppa","uusi alikansio kansiolle 1"
"'2' gáibida unnimus 1 argumeanta.","\ 2\ vaatii vähintään 1 parametrin."
"'2's lea eanemus 1 argumeanta.","\ 2\ ottaa korkeintaan 1 parametria."
"'gohččun' vuordejuvvui.","'command' odotettiin."
"'legal' rámmasturrodat","legal kehyksen koko"
"'meattáhus' dieđáhusbovssaš","'virhe' viesti-ikkuna"
"'sádde viidáset' fáddáprefivssat","vastausviestin otsikon etuliitteet"
"'sádde viidáset' fáddáprefivssat","välitetyn viestin otsikon etuliitteet"
"'tagged image file'-formáhtta","tiff kuvamuoto"
"'ai_family' ii dorjojuvvo","ai_family ei tuettu"
"'ai_flags' árvu ii gusto","virheellinen arvo ai_flagsille"
"'ai_socktype' ii dorjojuvvo","ai_socktype ei tuettu"
"'vold' ii leat jođus.","vold ei ole käynnissä."
"'álkes ohcan' holga","pikahakupalkki"
"'ándagassii' dieđáhusbovssaš","'anteeksi' viesti-ikkuna"
"áhta","elementti"
"áigemearri","määräaika"
"áigodat","jakso"
"álggahan dáhton","alkupäivä"
"álggat dihkeváidalanofelačča","käynnistä ohjelma virheiden raportoimista varten"
"álggat čátta ...","aloita keskustelu..."
"álgu","alku"
"álo (geavat várrogasat","aina (käytä varoen"
"árka","taulukko"
"árvu","arvo"
"ásat","tasaa"
"ásat gasku","sijoita keskelle"
"ádjánii menddo guhkká guossoheaddjái lávttašit","etäyhteyttä ei saatu muodostettua."
"áhtafabrihka vuođđu","käyttöliittymäelementtien pohja"
"áhtastiila maid geavahit","käyttöliittymäelementtien tyyli"
"áhtastiilla namma. ovdamearkkat leat 'keramik' dahje 'plastik'.","käyttöliittymäelementtien tyylin nimi (esim. keramik tai plastik)."
"áigeávadat","aikavyöhyke"
"áigi ja dáhtonat","aika ja päivämäärä"
"áibbas sahtedohko","täysin satunnainen"
"áicamin fierpmádatrustegiid","tunnistetaan verkkolaitteistoa"
"áicamin garraskearruid ja eará mašiidnagálvvu","tunnistetaan kiintolevyjä ja muuta laitteistoa"
"áicamin mašiidnagálvvu, vuorddes ...","tunnistetaan laitteistoa, odota..."
"áicca fierpmádatrustegiid","tunnista verkkolaitteisto"
"áicca skearruid","tunnista levyjä"
"áiccai ođđa ovttadaga.maid háliidat bargat?","havaittiin uusi laite.mitä haluat tehdä?"
"áiccat automáhtalaččat","automaattinen tunnistus"
"áicimin mašiidnagálvvu gávdnan dihte cdrom-ovttadagaid","etsitään kiintolevyjä tunnistamalla laitteistoa"
"áigemearri (ms","aikavalvonta (ms"
"áigemearit","aikakatkaisuarvot"
"áigemearremeattáhus","aikakatkaisuvirhe"
"áigemearri","määräpäivä"
"áigemihttára heivehusat","ajastuksen asetukset"
"áiggi badjerádji","aika enintään"
"áiggi vuollerádji","aika vähintään"
"áiggot go duođaid gurret ruskalihti?","haluatko varmasti tyhjentää roskakorikansion?"
"áiggotgo duođaid gurret buot kontuid ruskalihtiid?","haluatko varmasti tyhjentää kaikkien tilien roskakorit?"
"áiggut go ohcat ođđasit loahpa rájes?","haluatko aloittaa haun uudelleen lopusta?"
"áiggutgo geavahit firewire etherneta?","aiotaanko käyttää firewire ethernettiä?"
"áigi ovdal go govva molsašuvvo","kuvanvaihtoväli"
"áigi vel","jäljellä oleva aika"
"áigo sihkkut merkejuvvon fiillaid","tiedostojen poisto"
"álggahan áigi","aloitusaika"
"álggat ođđa bargovuoru","käynnistä uusi istunto"
"álggat ođđasit","käynnistä uudelleen"
"álgoleavga","aloituslisäsivu"
"álgu","aloita"
"ále doalat eambbogo","säilytä enintään"
"ále čana dan","älä liitä"
"ále šat suoje dokumeantta","poista asiakirjan suojaus"
"álgga spealu ođđasit","käynnistä peli uudelleen"
"álggahan mánnu","alkukuukausi"
"álggaha du ođđa vuogádahkii ...","käynnistetään uuteen järjestelmään..."
"álggahanbeaivi","alkupäivä"
"álggahanbálvalusat","käynnistettävät palvelut"
"álggahanávaštusa áigemearri","käynnistyksen ilmaisemisen aikakatkaisu"
"álggahanávaštusa áigemearri","käynnistyksen ilmaisemisen aikakatkaisu"
"álggaheamen 1","käynnistetään palvelua 1"
"álggaheamen bálvá ođđasit ...","uudelleenkäynnistän palvelinta..."
"álggaheamen partišuvdnaprográmma","poistetaanko olemassa olevat ohjelmallisen raidin osiot?"
"álggaheamen protokolla ...","alustetaan protokollaa..."
"álggaheamen '1' prográmmaža ...","käynnistetään sovelmaa \ 1\..."
"álggaheamin pc-goartabálválusaid ...","käynnistetään pc-card-palvelut..."
"álggahettiin váldoláse oidno govažin vuogádatgárccus","käynnistä pääikkuna pienennettynä ilmoitusalueelle"
"álggat kwrite","käynistä kwrite"
"álggat automáhtalaččat","käynnistä automaattisesti"
"álggat bálvá ođđasit","uudelleenkäynnistä palvelin"
"álggat fierpmádaga","käynnistä verkkopeli"
"álggat mutt","käynistä mutt"
"álggat kmail","käynistä kmail"
"álggat buhttema","aloita korvaus"
"álggat doaimma","aktivoi tehtävä"
"álggat dáinna","aloita tällä"
"álggat lassemodula","käynnistä liitännäinen"
"álggat nuppi bargovuoru nuppin geavaheaddjin","käynnistä rinnakkainen istunto toisena käyttäjänä"
"álggat ohcama","aloita haku"
"álggat rievdadahttima smávva bustávaide","pieniksi merkeiksi muutos alkaa"
"álggat rievdadahttima stuorra bustávaide","suuriksi merkeiksi muutos alkaa"
"álggat vissis kontact-moduvllain","aloita tietystä kontact-moduulista"
"álggat vuolideami","aloita häivytys"
"álggat šearbmaseastejeaddji demodoaibmanvuogis.","käynnistä näytönsäästäjä demotilassa."
"álggat šearbmasiestejeaddji","käytä näytönsäästäjää"
"álggat, bajit dahje unnit doaimma","aktivoi, nosta tai pienennä tehtävä"
"álgge guorus bargovuoruin","aloita aina tyhjä istunto"
"álgge geavahit dynámalaš modusa.","aktivoi elävä soittolista."
"álgge standárdláse haga","käynnistä ilman oletusikkunaa"
"álgge čihkkon váldolásiin","käynnistä pääikkuna piilotettuna"
"álgodivodusaid máhppa","luonnosten kansio"
"álgo- ja oahpahandokumeanttat","oppaat ja johdannot"
"álgobáikkit","aloituskohdat"
"álgodivodus","vedos"
"álgodivodus (ivdnekaseahtta","vedos (väripatruuna"
"álgodivodus (auto-áicca bábiršlája","vedos (tunnista paperin tyyppi automaattisesti"
"álgodivodus (siestindoaibmanvuohki","vedos (economy"
"álgodivodus ránesivnnit","harmaasävyvedos"
"álgodivodus ránesivnnit ( čáhppes- ja ivdnekaseahtta","harmaasävyvedos (musta ja väripatruuna"
"álgodivodus ránesivnnit (auto-áicca bábiršlaja","vedos harmaasävy (tunnista paperityyppi automaattisesti"
"álgodivodus, ránesivnnit (čáhppes leahkkakaseahtta","harmaasävyvedos (musta panos"
"álgodivoduskvalitehta","vedoslaatu"
"álgodássi","aloitustaso"
"álgovuolggalaš implementašuvdna","alkuperäinen toteutus"
"álgovuolggalaš krypteren doarjja pgp 2 ja pgp 5 doarjja","alkuperäinen salaustuki pgp 2- ja pgp 5-tuet"
"álgovuolggalaš máhppa","aloitushakemisto"
"álgovuolggálaš ksplash/ml","alkuperäinen ksplash/ml-ohjelman tekijä"
"álgovuolggálaš bálggis,sihkkundáhton","alkuperäinen polku, poistopäivä"
"álgovuolggálaš sajáiduhttinkoda","alkuperäinen asennuskoodi"
"álgovuolggálaš čálli","ensimmäinen tekijä"
"álgovuolggálaš","alkuperäinen"
"álgoárvu","investointi"
"álgu 1","alku 1"
"álgá 1","alkaa 1"
"álkidahtton kiinnálašgiella","kiina (yksinkertaistetut kirjoitusmerkit"
"álkkivduvvon kiinnágiella","japaninkielinen rxvt-pääte"
"álla ovdavuorru","korkea prioriteetti"
"álo alde","aina päällä"
"álo bajimus","pysy päällimmäisenä"
"álo alde","aina päällä"
"álo geavat báikkálaš máŋgusa","käytä aina paikallista kopiota"
"álo lokte siskkildandási","lisää aina sisennystasoa."
"álo mana boahtte tab-posišuvdnii","etene aina seuraavaan sarkainkohtaan."
"álo oaidnemeahttun dáidda","aina näkymätön yhteystiedolle"
"álo oidnosis dáidda","aina näkyvä yhteystiedolle"
"álo čájet kmaila vuogádatgárccus","näytä kmailin kuvake aina ilmoitusalueella"
"ándagássii, lean bargamin juste dál","olen nyt kiireinen"
"árbe stiilla","tyylin perusta"
"árbenčikŋodat","perintäsyvyys"
"árbevirolaš alit","sininen perinteinen"
"árbevirolaš ránes","harmaa perinteinen"
"árjjalašvuohtačálus","intensiteettisekoitus"
"árjjasiestin","virransäästö"
"árka 1","taulu 1"
"árkabiebmi","arkkisyötin"
"árkajorgaleaddji","kääntörumpu"
"árkka iešvuođat","taulukon asetukset"
"árkka namma ii sáhte leat guorus.","taulun nimi ei voi olla tyhjä."
"árkkat","arkit"
"árvit gilkoriid fiilanamas","arvaa sisältökuvaukset tiedostonimestä"
"árvoortnet 1","arvostelu 1"
"árvosáni sádden lihkostuvai.","arvostelun lähetys onnistui."
"árvosátni rievdaduvvui","arvostelu muuttui"
"árvoáksa 1 2","arvoalue 1 2"
"árvu 0 máksá ahte ii leat áigemearri","arvo 0 poistaa aikakatkaisun"
"árvu xs","arvo x"
"árvu ys","arvo y"
"árvu maid galgá jorgalit","muunnettava arvo"
"árvvu rádjái","arvoon"
"árvvuin","arvolla"
"ásat gurutbeallái","sijoita vasemmalle"
"ásat objeavttaid","objektien tasaus"
"ásat olgešbeallái","sijoita oikealle"
"ásat vuolimužžii","tasaa alas"
"ásia/baghdad","aasia/baghdad"
"ásia/calcutta","aasia/calcutta"
"ásia/damascus","aasia/damascus"
"ásia/tehran","aasia/tehran"
"ásia/tokyo","aasia/tokyo"
"ásia/yerevan","aasia/yerevan"
"áđaid duogášgovva","sovelmien taustakuva"
"áđaid govat","sovelmien kuvat"
"áđat","sovelmat"
"ägypten ja kroupware prošeaktajođiheapmi","ägypten- ja kroupware-projektien johtaminen"
"ále geavat partišuvnna","yhtään käynnistysosiota ei löytynyt"
"álggahuvvo otne","alkaa tänään"
"álggat kde kapplication doarjaga haga.","käynnistä ilman kden kapplication-tukea."
"álggat interaktiivvalaš kjs-dulkka","käynnistä interaktiivinen kjs-tulkki"
"álgodivodusat","luonnokset"
"árvosátni","arvostelu"
"ášŋđžčŧ","the quick brown fox jumps over the lazy dog"
"čanadettiin čuovvovaš báikái","kun otetaan yhteys seuraavalle palvelimelle"
"čađačuovgi","läpikuultava"
"čađačuovgivuohta","läpikuultamattomuus"
"čađačuovgivuohta","läpikuultamattomuus"
"čiega hámu","piilota kaava"
"čiega joavkoprográmmamáhpaid","piilota työryhmäkansiot"
"čiega meattáhusaid","piilota virheet"
"čiegusmáŋgusčujuhusat","piilokopio-osoitteet"
"čielggadeapmi","kommentoi"
"čikŋodat","syvyys"
"čoahkku","ydin"
"čoahku fiilanamma","ytimen tiedostonimi"
"čoavdde","ratkaise"
"čoavdde gilkora ...","irrota välilehti"
"čoavdde čájeheami","irrota näkymä"
"čujuhus","osoite"
"čujuhusšládja","osoitteen tyyppi"
"čuolda","sarake"
"čuovvovaš >","seuraava >"
"čuovvovaš 1 - '2'","seuraava 1 - \ 2\"
"čuvgodat","kirkkaus"
"čana oktii","yhdistä"
"čabu teakstadokumeanta","kirjoita tekstiasiakirjoja"
"čabu teavstta olggosfievrridanlásaš","normaalin tekstin vienti-ikkuna"
"čabu teavstta sisafievrridanlásaš","normaalin tekstin tuonti-ikkuna"
"čabu tekstii","puhtaaksi tekstiksi"
"čabu veaiki","pelkistetty kupari"
"čajet e-boastačujuhusaid","näytä sähköpostiosoitteet"
"čana","ankkuroi"
"čana ruohtasfiilavuogádaga dušše logahahtti","liitä juuritiedostojärjestelmä (root) vain luku -tilassa"
"čana rámma ohpit tekstii","juoksuta teksti uuteen kehykseen"
"čana teakstarámmaid oktii","yhdistä tekstikehykset"
"časkke birccuid","heitä"
"čatnamin","liitetään"
"čatnanbáiki","tiedostojärjestelmän liitoskohta"
"čatnanbáiki (/mnt/floppy","liitospiste (/mnt/floppy"
"čatnangohččun","mount-komento"
"čatnojuvvon 1-guossoheaddjái","yhdistetty palvelimeen 1"
"čatnojuvvon guossoheaddjái","yhdistä koneelle"
"čatnojuvvon linnját","yhdistetyt viivat"
"čatnon e-boastalistu","liitetty postituslista"
"čavdelohku (nugo 1, 13 2, 234 4","kokonaisluku (kuten 1, 13 2, 234 4"
"čavdelohku maid jorgalit","muunnettava kokonaislukuarvo"
"čađačuovgi 102 4 × 76 8","läpinäkyvä 102 4×76 8"
"čađačuovgi 128 0 × 102 4","läpinäkyvä 128 0×102 4"
"čađačuovgi 160 0 × 120 0","läpinäkyvä 160 0×120 0"
"čađačuovgi 64 0 × 48 0","läpinäkyvä 64 0×48 0"
"čeahka koruna","tsekin kruunu"
"čiega bálgá","piilota polku"
"čiega gođđosa","sulje säie"
"čiega 1","piilota 1"
"čiega 1-reaidoholgga","piilota 1 -työkalurivi"
"čiega ip-čujuhusa","piilota ip-osoite"
"čiega buot gođđosiid","sulje kaikki säikeet"
"čiega nollaárvvuid","piilota nolla"
"čiega vi-stáhtusholgga","piilota vi-tilarivi"
"čiega buot fierpmádatloganheivvolaš doaimmaid","kätke kaikki selainriippuvaiset toiminnot"
"čiega buot gođđosiid dán máhpas","sulkee kaikki säikeet nykyisessä kansiossa"
"čiega dán joavkku.","piilota tämä ryhmä."
"čiega fiilagieđahalli","piilota tiedostoselain"
"čiega fálloholgga ođđa lásiin","näytä valikkopalkki uusissa ikkunoissa"
"čiega fálu","piilota valikko"
"čiega gurgadusa","piilota rivi"
"čiega implisihtta miellahtuid","piilota implisiittiset luokat"
